t	x	y
0.000000E0	1.035798E-1	-6.306536E-1
3.328889E-2	1.216345E-1	-6.257689E-1
6.658889E-2	1.445347E-1	-6.280956E-1
9.987778E-2	1.589837E-1	-6.256336E-1
1.331778E-1	1.734820E-1	-6.243902E-1
1.664667E-1	1.861233E-1	-6.228267E-1
1.997667E-1	1.967265E-1	-6.172236E-1
2.330667E-1	2.073352E-1	-6.131382E-1
2.663556E-1	2.118881E-1	-6.131217E-1
2.996556E-1	2.174381E-1	-6.090545E-1
3.329444E-1	2.189630E-1	-6.110725E-1
3.662444E-1	2.184645E-1	-6.130978E-1
3.995333E-1	2.154311E-1	-6.136147E-1
4.328333E-1	2.143571E-1	-6.121799E-1
4.661222E-1	2.083418E-1	-6.146113E-1
4.994222E-1	2.011173E-1	-6.158423E-1
5.327111E-1	1.854896E-1	-6.255376E-1
5.660111E-1	1.698532E-1	-6.328232E-1
5.993000E-1	1.530033E-1	-6.377036E-1
6.326000E-1	1.301555E-1	-6.498346E-1
6.658889E-1	1.120964E-1	-6.535145E-1
6.991889E-1	9.162327E-2	-6.559983E-1
7.324889E-1	6.995845E-2	-6.621010E-1
7.657778E-1	4.467483E-2	-6.670119E-1
7.990778E-1	2.179211E-2	-6.695044E-1
8.323667E-1	1.319007E-3	-6.719883E-1
8.656667E-1	-2.639606E-2	-6.708838E-1
8.989556E-1	-4.567744E-2	-6.697488E-1
9.322556E-1	-6.735972E-2	-6.710322E-1
9.655444E-1	-8.785464E-2	-6.674920E-1
9.988444E-1	-1.059443E-1	-6.627382E-1
1.032133E0	-1.216156E-1	-6.603853E-1
1.065433E0	-1.399010E-1	-6.563081E-1
1.098722E0	-1.517534E-1	-6.556751E-1
1.132022E0	-1.662068E-1	-6.569323E-1
1.165311E0	-1.782637E-1	-6.545664E-1
1.198611E0	-1.879240E-1	-6.485772E-1
1.231911E0	-1.925278E-1	-6.488697E-1
1.265200E0	-1.973460E-1	-6.488872E-1
1.298500E0	-1.939437E-1	-6.498038E-1
1.331789E0	-1.963533E-1	-6.498126E-1
1.365089E0	-1.879065E-1	-6.533965E-1
1.398378E0	-1.818737E-1	-6.557843E-1
1.431678E0	-1.734400E-1	-6.557537E-1
1.464967E0	-1.625749E-1	-6.617385E-1
1.498267E0	-1.505006E-1	-6.689237E-1
1.531556E0	-1.396442E-1	-6.724989E-1
1.564856E0	-1.227593E-1	-6.772570E-1
1.598144E0	-1.094976E-1	-6.796187E-1
1.631444E0	-9.260406E-2	-6.867864E-1
1.664733E0	-7.210041E-2	-6.927363E-1
1.698033E0	-5.038322E-2	-7.010914E-1
1.731322E0	-3.350711E-2	-7.034400E-1
1.764622E0	-1.061129E-2	-7.045619E-1
1.797922E0	8.687550E-3	-7.105161E-1
1.831211E0	2.916938E-2	-7.104419E-1
1.864511E0	5.205647E-2	-7.091542E-1
1.897800E0	7.131166E-2	-7.030603E-1
1.931100E0	9.056249E-2	-6.957616E-1
1.964389E0	1.086434E-1	-6.981057E-1
1.997689E0	1.228194E-1	-6.902890E-1
2.030978E0	1.348432E-1	-6.842226E-1
2.064278E0	1.531430E-1	-6.762576E-1
2.097567E0	1.665167E-1	-6.712591E-1
2.130867E0	1.735986E-1	-6.689545E-1
2.164156E0	1.832327E-1	-6.677148E-1
2.197456E0	1.880389E-1	-6.640829E-1
2.230744E0	1.916446E-1	-6.616602E-1
2.264044E0	1.954876E-1	-6.595344E-1
2.297344E0	1.976512E-1	-6.568191E-1
2.330633E0	2.011512E-1	-6.554578E-1
2.363933E0	1.987294E-1	-6.587114E-1
2.397222E0	1.957589E-1	-6.598038E-1
2.430522E0	1.922477E-1	-6.608981E-1
2.463811E0	1.844332E-1	-6.665056E-1
2.497044E0	1.785579E-1	-6.700109E-1
2.530344E0	1.697347E-1	-6.728535E-1
2.563633E0	1.548916E-1	-6.765210E-1
2.596933E0	1.376437E-1	-6.814018E-1
2.630222E0	1.206654E-1	-6.908332E-1
2.663522E0	1.013883E-1	-6.909030E-1
2.696811E0	7.972353E-2	-6.970056E-1
2.730111E0	5.563599E-2	-6.995026E-1
2.763400E0	3.878606E-2	-7.043829E-1
2.796700E0	1.348935E-2	-7.056794E-1
2.829989E0	-1.300782E-2	-7.081850E-1
2.863289E0	-3.348092E-2	-7.106688E-1
2.896589E0	-5.636801E-2	-7.119566E-1
2.929878E0	-7.926383E-2	-7.108347E-1
2.963178E0	-9.854521E-2	-7.096997E-1
2.996467E0	-1.178397E-1	-7.049503E-1
3.029767E0	-1.323105E-1	-7.013882E-1
3.063056E0	-1.491910E-1	-6.978349E-1
3.096356E0	-1.636619E-1	-6.942728E-1
3.129644E0	-1.732916E-1	-6.967174E-1
